id,botanical_name,ayurvedic_name,common_names,family,rasa,guna,virya,vipaka,dosha_effect,nmpb_status,ccras_references,research_portal_link
tulsi,"Ocimum sanctum L.",Tulasi,"Holy Basil, Tulsi",Lamiaceae,"Katu (Pungent), Tikta (Bitter)","Laghu (Light), Ruksha (Dry)","Ushna (Hot)","Katu (Pungent)","Balances Kapha and Vata, increases Pitta","High Priority (Commercial Cultivation)",1250,https://ayushportal.nic.in/search_tulsi
neem,"Azadirachta indica A. Juss.",Nimba,"Neem, Margosa Tree",Meliaceae,"Tikta (Bitter), Kashaya (Astringent)","Laghu (Light), Ruksha (Dry)","Sheeta (Cold)","Katu (Pungent)","Pacifies Pitta and Kapha, aggravates Vata","Supported for Agro-forestry",2340,https://ayushportal.nic.in/search_neem
aloevera,"Aloe vera (L.) Burm. f.",Kumari,"Aloe Vera, Indian Aloe",Asphodelaceae,"Tikta (Bitter), Madhura (Sweet)","Guru (Heavy), Snigdha (Unctuous)","Sheeta (Cold)","Katu (Pungent)","Tridoshic, mainly pacifies Pitta","High Priority (Commercial Cultivation)",890,https://ayushportal.nic.in/search_aloe_vera
ashwagandha,"Withania somnifera (L.) Dunal",Ashwagandha,"Indian Ginseng, Winter Cherry",Solanaceae,"Tikta (Bitter), Katu (Pungent), Madhura (Sweet)","Laghu (Light), Snigdha (Unctuous)","Ushna (Hot)","Madhura (Sweet)","Balances Vata and Kapha","High Priority (Commercial Cultivation)",3450,https://ayushportal.nic.in/search_ashwagandha
turmeric,"Curcuma longa L.",Haridra,"Turmeric",Zingiberaceae,"Tikta (Bitter), Katu (Pungent)","Ruksha (Dry), Laghu (Light)","Ushna (Hot)","Katu (Pungent)","Balances all three doshas","High Priority (Commercial Cultivation)",4120,https://ayushportal.nic.in/search_haridra
brahmi,"Bacopa monnieri (L.) Wettst.",Brahmi,"Water Hyssop, Thyme-leafed gratiola",Plantaginaceae,"Tikta (Bitter), Kashaya (Astringent)","Laghu (Light)","Sheeta (Cold)","Madhura (Sweet)","Balances Vata and Kapha","High Priority (Conservation)",1560,https://ayushportal.nic.in/search_brahmi
guduchi,"Tinospora cordifolia (Willd.) Miers",Guduchi,"Giloy, Heart-leaved moonseed",Menispermaceae,"Tikta (Bitter), Kashaya (Astringent)","Guru (Heavy), Snigdha (Unctuous)","Ushna (Hot)","Madhura (Sweet)","Tridoshic (Balances all three)","High Priority (Commercial Cultivation)",2890,https://ayushportal.nic.in/search_guduchi
amla,"Phyllanthus emblica L.",Amalaki,"Indian Gooseberry, Amla",Phyllanthaceae,"Amla (Sour), Madhura (Sweet), Tikta, Kashaya, Katu","Guru (Heavy), Sheeta (Cold)","Sheeta (Cold)","Madhura (Sweet)","Tridoshic, especially balances Pitta","Supported for Agro-forestry",3100,https://ayushportal.nic.in/search_amalaki
shatavari,"Asparagus racemosus Willd.",Shatavari,"Wild Asparagus",Asparagaceae,"Madhura (Sweet), Tikta (Bitter)","Guru (Heavy), Snigdha (Unctuous)","Sheeta (Cold)","Madhura (Sweet)","Balances Vata and Pitta","High Priority (Conservation)",1100,https://ayushportal.nic.in/search_shatavari
haritaki,"Terminalia chebula Retz.",Haritaki,"Chebulic Myrobalan",Combretaceae,"Five tastes (except salty), mainly Kashaya","Laghu (Light), Ruksha (Dry)","Ushna (Hot)","Madhura (Sweet)","Tridoshic, balances Vata primarily","Supported for Agro-forestry",1850,https://ayushportal.nic.in/search_haritaki
